,order_id,date,customer_id,customer_name,age,gender,region,category,product,quantity,unit_price,discount_pct,payment_method,order_status,rating,year,month,day
4,ORD00005,2022-08-03,CUST2800,Nikhil,59,M,North,Food,Dal 2kg,6,855.14,10,Debit Card,Returned,3.8,2022,8,3
5,ORD00006,2022-08-13,CUST0230,Vijay,32,M,North,Furniture,Bookshelf,5,4948.14,20,UPI,Cancelled,4.4,2022,8,13
8,ORD00009,2022-01-12,CUST2200,Divya,35,F,East,Sports,Yoga Mat,9,1294.5,20,Credit Card,Pending,1.5,2022,1,12
10,ORD00011,2022-01-01,CUST0459,Karan,41,M,East,Toys,Doll,9,4769.82,20,Cash,Delivered,3.0,2022,1,1
11,ORD00012,2022-05-09,CUST2252,Rohan,28,M,East,Electronics,Laptop,8,4089.32,20,Debit Card,Cancelled,2.9,2022,5,9
13,ORD00014,2022-08-23,CUST0129,Rohan,39,M,North,Clothing,T-Shirt,2,3553.81,0,Debit Card,Returned,,2022,8,23
15,ORD00016,2022-03-04,CUST0448,Divya,33,F,South,Furniture,Bookshelf,1,3383.15,0,Cash,Cancelled,2.4,2022,3,4
17,ORD00018,2022-03-02,CUST1600,Vijay,34,M,West,Furniture,Bookshelf,8,1108.05,15,UPI,Cancelled,1.0,2022,3,2
20,ORD00021,2022-07-29,CUST1088,Nikhil,43,M,South,Books,Cookbook,10,2637.77,10,UPI,Cancelled,2.3,2022,7,29
21,ORD00022,2022-03-17,CUST0543,Anita,40,F,North,Electronics,Headphones,10,4992.35,0,Cash,Pending,3.0,2022,3,17
22,ORD00023,2022-01-09,CUST2718,Sneha,24,F,South,Furniture,Bed Frame,5,3077.8,20,UPI,Delivered,3.2,2022,1,9
23,ORD00024,2022-07-28,CUST2071,Dev,49,M,East,Clothing,Jacket,5,3043.91,10,Credit Card,Delivered,4.4,2022,7,28
24,ORD00025,2022-06-15,CUST1752,Meera,53,F,North,Electronics,Laptop,6,3867.04,10,Credit Card,Delivered,3.2,2022,6,15
25,ORD00026,2022-05-11,CUST1494,Dev,20,M,East,Electronics,Tablet,10,2785.0,15,Cash,Returned,,2022,5,11
26,ORD00027,2022-08-31,CUST0726,Karan,44,M,North,Toys,Board Game,7,4870.49,5,Cash,Pending,4.9,2022,8,31
28,ORD00029,2022-12-26,CUST2197,Suresh,39,M,North,Furniture,Sofa,5,4328.55,10,Credit Card,Pending,2.6,2022,12,26
29,ORD00030,2022-11-18,CUST0474,Rohan,42,M,Central,Food,Rice 5kg,2,3003.03,10,Cash,Pending,4.9,2022,11,18
37,ORD00038,2022-03-24,CUST2843,Ravi,27,M,South,Clothing,Jacket,6,1632.56,20,Credit Card,Cancelled,1.9,2022,3,24
41,ORD00042,2022-12-02,CUST1553,Sneha,35,F,West,Toys,Puzzle,3,298.91,15,UPI,Delivered,2.3,2022,12,2
42,ORD00043,2022-08-18,CUST2670,Priya,20,F,North,Books,Cookbook,1,4999.54,10,Cash,Returned,4.1,2022,8,18
45,ORD00046,2022-02-12,CUST1518,Ravi,22,M,Central,Toys,Board Game,2,3991.32,20,UPI,Delivered,2.7,2022,2,12
47,ORD00048,2022-03-30,CUST1904,Divya,54,F,Central,Toys,Board Game,5,1645.41,5,Net Banking,Pending,2.8,2022,3,30
48,ORD00049,2022-09-22,CUST2873,Arjun,35,M,Central,Toys,RC Car,3,2463.37,10,Credit Card,Returned,4.5,2022,9,22
50,ORD00051,2022-12-19,CUST1355,Kavya,40,F,West,Food,Biscuits,6,2392.64,20,UPI,Pending,4.0,2022,12,19
53,ORD00054,2022-07-08,CUST1957,Rahul,25,M,North,Sports,Badminton Set,8,2419.64,10,Net Banking,Cancelled,2.0,2022,7,8
54,ORD00055,2022-11-08,CUST1017,Rohan,25,M,Central,Books,Novel,3,788.53,20,Net Banking,Returned,,2022,11,8
57,ORD00058,2022-08-19,CUST0583,Suresh,22,M,North,Food,Biscuits,4,2154.44,20,Cash,Pending,4.6,2022,8,19
60,ORD00061,2022-12-08,CUST0659,Rohan,39,M,West,Furniture,Bookshelf,2,2376.55,15,Net Banking,Pending,1.4,2022,12,8
61,ORD00062,2022-04-29,CUST2108,Asha,18,F,Central,Electronics,Headphones,2,1606.86,10,Net Banking,Cancelled,2.6,2022,4,29
62,ORD00063,2022-02-22,CUST1180,Suresh,46,M,West,Sports,Badminton Set,10,3794.39,15,Credit Card,Delivered,3.2,2022,2,22
63,ORD00064,2022-08-19,CUST1891,Vijay,25,M,South,Food,Biscuits,1,2783.64,0,Net Banking,Pending,4.7,2022,8,19
64,ORD00065,2022-05-29,CUST2082,Divya,65,F,South,Toys,Puzzle,8,1256.47,20,Credit Card,Pending,4.7,2022,5,29
65,ORD00066,2022-11-02,CUST2704,Nisha,49,F,South,Toys,Board Game,5,4111.72,10,Net Banking,Cancelled,3.3,2022,11,2
66,ORD00067,2022-07-13,CUST1569,Nisha,32,F,West,Sports,Dumbbells,7,2303.96,10,Credit Card,Pending,2.0,2022,7,13
68,ORD00069,2022-12-13,CUST0329,Vijay,39,M,Central,Furniture,Table,2,2373.98,10,Net Banking,Pending,2.6,2022,12,13
69,ORD00070,2022-08-21,CUST0404,Asha,58,F,North,Electronics,Smartwatch,2,1212.11,10,Net Banking,Returned,2.7,2022,8,21
72,ORD00073,2022-11-03,CUST1025,Asha,47,F,East,Clothing,T-Shirt,8,4728.92,20,Cash,Cancelled,2.7,2022,11,3
75,ORD00076,2022-10-30,CUST0823,Pooja,26,F,Central,Electronics,Smartwatch,6,3675.18,0,UPI,Pending,2.7,2022,10,30
76,ORD00077,2022-04-28,CUST0925,Ravi,61,M,West,Toys,Puzzle,5,3745.47,10,Debit Card,Pending,1.3,2022,4,28
80,ORD00081,2022-02-03,CUST1822,Anita,33,F,East,Toys,Puzzle,10,2070.17,10,Credit Card,Pending,1.9,2022,2,3
81,ORD00082,2022-04-04,CUST2446,Priya,19,F,North,Furniture,Sofa,4,4842.62,15,UPI,Returned,3.6,2022,4,4
82,ORD00083,2022-08-27,CUST2442,Rohan,18,M,East,Clothing,T-Shirt,9,1075.43,5,Cash,Returned,1.6,2022,8,27
88,ORD00089,2022-05-14,CUST2301,Anita,53,F,East,Electronics,Laptop,2,2187.79,10,Credit Card,Cancelled,3.3,2022,5,14
89,ORD00090,2022-04-17,CUST2690,Divya,48,F,South,Toys,LEGO Set,5,3022.03,10,Credit Card,Pending,1.9,2022,4,17
91,ORD00092,2022-05-27,CUST0582,Vijay,65,M,North,Food,Spices Pack,6,1787.57,5,Credit Card,Returned,2.6,2022,5,27
93,ORD00094,2022-10-07,CUST1414,Pooja,45,F,North,Books,Self-Help,8,3055.03,15,UPI,Cancelled,3.0,2022,10,7
94,ORD00095,2022-11-05,CUST1047,Priya,36,F,East,Clothing,Saree,10,321.17,5,Credit Card,Delivered,4.1,2022,11,5
98,ORD00099,2022-12-26,CUST0605,Amit,33,M,North,Sports,Cricket Bat,9,2574.26,10,Cash,Pending,4.3,2022,12,26
100,ORD00101,2022-10-09,CUST0304,Sneha,37,F,West,Furniture,Chair,8,2238.93,10,Net Banking,Delivered,2.4,2022,10,9
102,ORD00103,2022-04-16,CUST2926,Ritu,23,F,Central,Furniture,Bed Frame,3,4790.73,15,Cash,Delivered,4.3,2022,4,16
104,ORD00105,2022-06-03,CUST0580,Karan,40,M,East,Electronics,Smartwatch,7,1456.53,20,Net Banking,Returned,3.3,2022,6,3
105,ORD00106,2022-04-06,CUST1483,Ravi,19,M,East,Sports,Yoga Mat,6,4075.26,20,UPI,Returned,2.7,2022,4,6
106,ORD00107,2022-06-08,CUST0415,Karan,50,M,Central,Toys,Puzzle,4,1171.39,5,Debit Card,Delivered,,2022,6,8
108,ORD00109,2022-08-28,CUST1922,Kavya,30,F,East,Furniture,Bed Frame,5,3774.34,15,Debit Card,Cancelled,2.2,2022,8,28
109,ORD00110,2022-07-24,CUST1025,Meera,21,F,West,Toys,Puzzle,9,2660.93,5,UPI,Delivered,1.6,2022,7,24
110,ORD00111,2022-05-31,CUST0910,Ravi,46,M,East,Electronics,Phone,5,2274.13,20,Credit Card,Cancelled,1.4,2022,5,31
117,ORD00118,2022-11-14,CUST2225,Ravi,48,M,East,Clothing,T-Shirt,4,4434.66,10,Credit Card,Returned,5.0,2022,11,14
119,ORD00120,2022-07-04,CUST0328,Asha,38,F,East,Food,Rice 5kg,7,440.69,20,UPI,Cancelled,2.3,2022,7,4
121,ORD00122,2022-08-30,CUST1569,Vijay,54,M,North,Toys,Board Game,8,222.25,0,Debit Card,Returned,2.5,2022,8,30
128,ORD00129,2022-10-18,CUST2602,Karan,53,M,East,Books,Textbook,6,4740.04,20,Cash,Pending,2.0,2022,10,18
129,ORD00130,2022-06-25,CUST2479,Dev,39,M,Central,Books,Textbook,10,4710.95,5,Credit Card,Delivered,3.9,2022,6,25
132,ORD00133,2022-09-05,CUST1016,Divya,27,F,North,Clothing,Jacket,9,2830.17,10,Credit Card,Pending,2.1,2022,9,5
133,ORD00134,2022-11-17,CUST2109,Ritu,47,F,West,Furniture,Table,3,4076.72,20,UPI,Cancelled,1.6,2022,11,17
135,ORD00136,2022-02-16,CUST0798,Nikhil,41,M,Central,Clothing,Jacket,6,3831.09,10,UPI,Delivered,3.3,2022,2,16
137,ORD00138,2022-02-09,CUST1941,Suresh,51,M,West,Sports,Dumbbells,7,2525.39,0,Cash,Returned,2.3,2022,2,9
140,ORD00141,2022-02-02,CUST0782,Dev,19,M,West,Books,Cookbook,7,781.49,5,UPI,Cancelled,3.8,2022,2,2
143,ORD00144,2022-10-23,CUST2003,Suresh,38,M,West,Food,Biscuits,5,1163.09,10,UPI,Pending,3.8,2022,10,23
144,ORD00145,2022-12-20,CUST1190,Anita,20,F,East,Sports,Dumbbells,7,4484.01,15,Credit Card,Pending,4.2,2022,12,20
145,ORD00146,2022-10-05,CUST0563,Meera,24,F,Central,Books,Self-Help,4,1050.24,20,Debit Card,Returned,3.8,2022,10,5
146,ORD00147,2022-04-13,CUST0412,Rahul,61,M,South,Books,Cookbook,4,3207.83,0,Credit Card,Returned,3.9,2022,4,13
147,ORD00148,2022-04-02,CUST2962,Pooja,20,F,South,Furniture,Table,5,1639.78,0,Net Banking,Returned,1.9,2022,4,2
148,ORD00149,2022-02-08,CUST2327,Nikhil,56,M,North,Toys,Puzzle,3,4686.21,10,UPI,Pending,,2022,2,8
149,ORD00150,2022-10-07,CUST0666,Asha,64,F,West,Sports,Yoga Mat,3,4262.75,15,UPI,Returned,1.5,2022,10,7
150,ORD00151,2022-06-29,CUST1661,Karan,45,M,Central,Toys,RC Car,10,3388.29,5,UPI,Delivered,3.6,2022,6,29
151,ORD00152,2022-01-07,CUST1094,Anita,39,F,East,Clothing,Jeans,8,1651.83,5,Debit Card,Delivered,1.9,2022,1,7
152,ORD00153,2022-11-11,CUST2882,Nisha,37,F,North,Books,Textbook,1,3355.54,15,UPI,Pending,3.7,2022,11,11
154,ORD00155,2022-03-05,CUST0829,Asha,54,F,Central,Books,Comics,2,4590.36,0,Cash,Returned,4.6,2022,3,5
155,ORD00156,2022-04-04,CUST0228,Asha,47,F,South,Furniture,Chair,4,3598.74,15,Debit Card,Cancelled,2.8,2022,4,4
156,ORD00157,2022-01-23,CUST0893,Ritu,55,F,North,Electronics,Smartwatch,8,3380.2,10,Credit Card,Cancelled,4.3,2022,1,23
157,ORD00158,2022-02-02,CUST0555,Anita,59,F,West,Sports,Cricket Bat,2,4931.38,15,UPI,Cancelled,1.7,2022,2,2
158,ORD00159,2022-05-02,CUST2167,Divya,26,F,South,Furniture,Chair,9,708.3,10,Credit Card,Delivered,3.1,2022,5,2
159,ORD00160,2022-09-11,CUST0773,Pooja,64,F,North,Books,Cookbook,7,2683.07,5,Credit Card,Cancelled,1.6,2022,9,11
161,ORD00162,2022-08-28,CUST1307,Dev,54,M,Central,Clothing,T-Shirt,3,2544.28,10,UPI,Returned,3.9,2022,8,28
162,ORD00163,2022-03-04,CUST0718,Sneha,58,F,West,Books,Cookbook,4,2097.12,10,Debit Card,Cancelled,3.4,2022,3,4
166,ORD00167,2022-08-05,CUST0481,Kavya,65,F,West,Toys,RC Car,5,4787.25,0,Cash,Returned,4.8,2022,8,5
168,ORD00169,2022-05-30,CUST2267,Kavya,55,F,Central,Food,Spices Pack,7,276.29,5,Net Banking,Pending,,2022,5,30
172,ORD00173,2022-10-09,CUST2058,Rahul,62,M,West,Sports,Dumbbells,7,108.66,20,Cash,Delivered,2.1,2022,10,9
173,ORD00174,2022-12-29,CUST1529,Dev,43,M,West,Clothing,Jeans,4,3117.92,10,Debit Card,Returned,2.6,2022,12,29
